ΤΚ,Περιοχή,Ζώνη,"Συνολική κατανάλωση","Ημέρες κατανάλωσης","Μέση ημερήσια κατανάλωση","Πλήθος παροχών","Μήνας κατανάλωσης"
11525,ΑΘΗΝΑ,"Κλάση Ε","3,785",39,97.10,2,01/2021
11525,"ΝΕΟ ΨΥΧΙΚΟ","Κλάση Γ",15,29,0.50,2,01/2021
11525,"ΝΕΟ ΨΥΧΙΚΟ","Κλάση A",1,87,0.00,3,01/2021
11525,ΕΛΛΗΝΟΡΩΣΩΝ,"Κλάση Ε","1,734",116,14.90,5,01/2021
11525,ΑΘΗΝΑ,"Κλάση A",5,77,0.10,5,01/2021
11525,"ΝΕΟ ΨΥΧΙΚΟ","Κλάση Β",48,145,0.30,6,01/2021
11525,ΑΘΗΝΑ,"Κλάση Β",55,164,0.30,7,01/2021
11525,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Δ",358,162,2.20,8,01/2021
11525,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Γ",238,374,0.60,18,01/2021
11525,ΕΛΛΗΝΟΡΩΣΩΝ,"Κλάση Δ","1,215",715,1.70,38,01/2021
11525,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Β",411,1692,0.20,75,01/2021
11525,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση A",78,2997,0.00,117,01/2021
11525,ΕΛΛΗΝΟΡΩΣΩΝ,"Κλάση Γ","8,808",14099,0.60,552,01/2021
11525,ΕΛΛΗΝΟΡΩΣΩΝ,"Κλάση Β","23,008",88435,0.30,3213,01/2021
11525,ΕΛΛΗΝΟΡΩΣΩΝ,"Κλάση A","1,643",62737,0.00,4609,01/2021
11526,"ΕΡΥΘΡΟΣ ΣΤΑΥΡΟΣ","Κλάση Ε","6,125",145,42.20,6,01/2021
11526,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Ε","1,576",154,10.20,10,01/2021
11526,ΕΛΛΗΝΟΡΩΣΩΝ,"Κλάση Γ",146,235,0.60,11,01/2021
11526,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Δ","1,352",755,1.80,35,01/2021
11526,"ΕΡΥΘΡΟΣ ΣΤΑΥΡΟΣ","Κλάση Δ","1,532",824,1.90,36,01/2021
11526,ΕΛΛΗΝΟΡΩΣΩΝ,"Κλάση Β",513,2105,0.20,78,01/2021
11526,ΕΛΛΗΝΟΡΩΣΩΝ,"Κλάση A",36,1374,0.00,157,01/2021
11526,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Γ","4,915",7947,0.60,293,01/2021
11526,"ΕΡΥΘΡΟΣ ΣΤΑΥΡΟΣ","Κλάση Γ","5,978",9605,0.60,377,01/2021
11526,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Β","19,121",79421,0.20,2813,01/2021
11526,"ΕΡΥΘΡΟΣ ΣΤΑΥΡΟΣ","Κλάση A","1,984",78005,0.00,2905,01/2021
11526,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση A","2,241",84413,0.00,2971,01/2021
11526,"ΕΡΥΘΡΟΣ ΣΤΑΥΡΟΣ","Κλάση Β","25,301",100497,0.30,3642,01/2021
11527,ΙΛΙΣΙΑ,"Κλάση Δ",385,229,1.70,13,01/2021
11527,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Ε","26,116",279,93.60,14,01/2021
11527,ΓΟΥΔΙ,"Κλάση Ε","4,674",171,27.30,15,01/2021
11527,ΓΟΥΔΙ,"Κλάση Δ","1,316",839,1.60,38,01/2021
11527,ΑΘΗΝΑ,"Κλάση A",48,1200,0.00,41,01/2021
11527,ΑΘΗΝΑ,"Κλάση Β",265,1260,0.20,42,01/2021
11527,ΙΛΙΣΙΑ,"Κλάση Γ",646,1072,0.60,53,01/2021
11527,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Δ","2,386",1314,1.80,65,01/2021
11527,ΓΟΥΔΙ,"Κλάση Γ","3,476",5600,0.60,227,01/2021
11527,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Γ","6,041",9713,0.60,385,01/2021
11527,ΙΛΙΣΙΑ,"Κλάση Β","3,049",12768,0.20,500,01/2021
11527,ΙΛΙΣΙΑ,"Κλάση A",370,14179,0.00,542,01/2021
11527,ΓΟΥΔΙ,"Κλάση A","1,348",49450,0.00,1808,01/2021
11527,ΓΟΥΔΙ,"Κλάση Β","13,458",55640,0.20,2042,01/2021
11527,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση A","2,239",87555,0.00,3212,01/2021
11527,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Β","21,720",90230,0.20,3350,01/2021
11528,ΧΙΛΤΟΝ,"Κλάση Ε","1,144",60,19.10,2,01/2021
11528,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Δ",80,58,1.40,3,01/2021
11528,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Γ",125,186,0.70,8,01/2021
11528,ΑΘΗΝΑ,"Κλάση Γ",149,240,0.60,8,01/2021
11528,ΧΙΛΤΟΝ,"Κλάση Δ",420,269,1.60,9,01/2021
11528,ΙΛΙΣΙΑ,"Κλάση Ε","7,506",279,26.90,20,01/2021
11528,ΧΙΛΤΟΝ,"Κλάση Γ",697,1019,0.70,34,01/2021
11528,ΑΜΠΕΛΟΚΗΠΟΙ,"Κλάση Β",240,946,0.30,36,01/2021
11528,ΑΘΗΝΑ,"Κλάση Β",306,1260,0.20,42,01/2021
